"","X","id","name","latestDateUTC","value","latitude","longitude"
"1",4,6530154,"pm25 µg/m³","2024-12-16T03:00:00Z",1.0669642748932,51.5465402591367,-0.0907452421552941
"2",3,1304692,"pm25 µg/m³","2024-12-16T01:00:00Z",0.5,51.4804994936467,-0.0595528932573422
"3",3,6794730,"pm25 µg/m³","2024-12-16T03:00:00Z",0.0577500003079573,51.4723090811869,-0.0860062392925502
"4",4,254,"pm25 µg/m³","2024-12-16T01:00:00Z",0.5,51.4659832746662,0.184877126994369
"5",1,1792043,"pm25 µg/m³","2024-12-16T01:00:00Z",0.5,51.4946486813055,0.137279111232178
"6",3,6933605,"pm25 µg/m³","2024-12-16T02:00:00Z",2,51.5324054617809,-0.217718908639377
"7",3,1792083,"pm25 µg/m³","2024-12-16T01:00:00Z",0.4,51.4906102082147,0.158914493927518
"8",3,6612671,"pm25 µg/m³","2024-12-16T02:00:00Z",-1,51.552656,-0.248774
"9",3,6955371,"pm25 µg/m³","2024-12-16T02:00:00Z",3,51.537799,-0.247793
"10",1,1304516,"pm25 µg/m³","2024-12-16T02:00:00Z",3,51.552476,-0.258089
"11",2,1304507,"pm25 µg/m³","2024-12-16T02:00:00Z",5,51.405546,0.018882
"12",2,1304721,"pm25 µg/m³","2024-12-16T02:00:00Z",2.9,51.490532,0.074003
"13",2,1304607,"pm25 µg/m³","2024-12-16T02:00:00Z",2.4,51.486957,0.095111
"14",1,1304680,"pm25 µg/m³","2024-12-16T02:00:00Z",-0.1,51.4937746695818,0.0107796237032558
"15",2,1304686,"pm25 µg/m³","2024-12-16T01:00:00Z",3,51.4795312838203,-0.0252606031340197
"16",1,1666368,"pm25 µg/m³","2024-12-16T02:00:00Z",3.8,51.464113541162,-0.11458102695123
"17",1,1304614,"pm25 µg/m³","2024-12-16T01:00:00Z",0.6,51.5013906712066,-0.0782034373606952
"18",3,1304683,"pm25 µg/m³","2024-12-16T01:00:00Z",0.4,51.4931557048667,-0.101527038274853
"19",1,1304669,"pm25 µg/m³","2024-12-16T01:00:00Z",0.5,51.4965604167321,-0.0530504472531612
"20",1,1304722,"pm25 µg/m³","2024-12-16T02:00:00Z",1.9,51.4563,0.085606
"21",1,1304737,"pm25 µg/m³","2024-12-16T02:00:00Z",0,51.4922482333024,-0.147114752900186
"22",2,1304757,"pm25 µg/m³","2024-12-16T01:00:00Z",0.8,51.4735803479615,-0.0877818536754426
"23",4,1304734,"pm25 µg/m³","2024-12-16T01:00:00Z",0.4,51.4496728960354,-0.0374153592115306
"24",2,11268004,"pm25 µg/m³","2024-12-16T02:00:00Z",5,51.4636903568111,-0.166713485994806
"25",2,7771087,"pm25 µg/m³","2024-12-16T02:00:00Z",2,51.5119769825798,-0.12162720332856
"26",1,10416144,"pm25 µg/m³","2024-12-16T01:00:00Z",6,51.4794395281222,-0.141786953606306
"27",3,7799668,"pm25 µg/m³","2024-12-16T02:00:00Z",4,51.5139287404213,-0.152792701881935
"28",1,1334916,"pm25 µg/m³","2024-12-16T01:00:00Z",0.5,51.442633,-0.077653974
"29",2,7897356,"pm25 µg/m³","2024-12-16T03:00:00Z",0.0464285731847797,51.52224,-0.15657
"30",2,7897335,"pm25 µg/m³","2024-12-16T03:00:00Z",0.0375000005587935,51.451186,-0.039428
"31",2,7897344,"pm25 µg/m³","2024-12-16T03:00:00Z",0.0666666690570613,51.451186,-0.039428
"32",2,7897374,"pm25 µg/m³","2024-12-16T03:00:00Z",0.0270833340473473,51.52224,-0.15657
"33",2,1561901,"pm25 µg/m³","2024-12-16T00:00:00Z",1,51.5075819137762,-0.133068372704093
"34",5,10081803,"pm25 µg/m³","2024-12-16T03:00:00Z",0.0233630960962425,51.5423,-0.1285
"35",6,10432372,"pm25 µg/m³","2024-12-16T03:00:00Z",0.0166666669150194,51.3082,-0.1365
"36",1,11599575,"pm25 µg/m³","2024-12-16T02:34:50Z",0,51.45935,-0.30416
"37",1,11599597,"pm25 µg/m³","2024-12-16T02:27:07Z",0,51.46324,-0.28577
